Id X100m LuzeraJauzia PisuJaurtiketa AltueraJauzia X400m X110mHesi DiskoJaurtiketa PertikaJauzia Xabalina X1500m Rank Puntuaketa
A1 11.03 7.01 15.3 1.96 50.06 15.27 46.08 5.35 51.13 293.26 30 7972
A2 10.8 7.53 14.26 1.88 48.81 14.8 42.05 5.4 61.33 276.33 13 8235
A3 10.66 7.41 14.58 1.96 50.22 14.53 40.28 4.85 55.06 273.73 22 8101
A4 10.89 7.07 13.88 1.94 49.11 14.77 42.47 4.7 60.88 263.31 26 7993
A5 10.96 7.92 16.52 2.14 48.84 14.19 49.21 5.05 71.23 282.81 1 8982
A6 10.73 7.82 14.62 1.99 48.45 14.15 44.17 4.95 55.94 280.83 8 8426
A7 11.03 6.92 14.76 1.92 48.92 14.23 44.38 4.55 63.9 264.42 27 7986
A8 10.54 8.04 15.38 2.08 49.68 14.27 50.61 4.95 70.41 284.82 2 8908
A9 10.78 7.4 15.57 2.13 48.48 14.41 47.86 4.36 57.88 262.77 10 8330
A10 11.03 6.92 14.76 1.92 48.92 14.23 44.38 4.55 63.9 264.42 28 7986
A11 10.6 7.89 16.09 2.11 47.28 14.11 52.17 4.65 56.1 280.89 3 8812
A12 10.74 7.76 16.2 2.1 47.88 13.91 48.23 4.95 69.81 277.21 4 8804
A13 10.97 6.84 13.48 2.01 51.15 14.12 39.43 4.75 58.75 287.11 34 7631
A14 10.73 7.82 14.62 1.99 48.45 14.15 44.17 4.95 55.94 280.83 9 8426
A15 11.25 7.06 15.06 1.96 49.9 14.51 45.28 4.65 65.2 269.76 20 8148
A16 10.8 7.07 15.16 2.1 48.91 14.8 45.16 4.65 62.82 266.84 15 8204
A17 10.34 7.88 15.08 2.04 48.7 13.99 49.61 4.85 69.01 279.18 5 8732
A18 11.03 6.92 14.76 1.92 48.92 14.23 44.38 4.55 63.9 264.42 29 7986
A19 10.91 7.14 15.31 2.12 49.4 14.95 45.62 4.7 63.45 269.54 12 8287
A20 10.69 7.48 14.8 2.12 49.13 14.17 44.75 4.4 55.27 276.31 14 8225
A21 11.17 7.41 13.69 1.99 50.15 14.93 45.58 4.54 61.4 275.36 24 8013
A22 10.85 7.3 14.77 1.88 50.3 14.34 44.41 5 60.89 278.82 23 8077
A23 11.06 7.38 15.25 2.08 51.3 14.35 45.05 5.05 53.98 290.51 17 8165
A24 10.96 6.88 15.39 1.93 49.76 14.15 49.51 4.24 62.14 275.47 21 8103
A25 10.86 7.12 14.5 2.01 48.24 14.11 44.27 4.75 57.18 261.71 19 8155
A26 11.09 7.56 14.15 1.96 50.26 14.39 42.85 5.15 56.88 276.3 16 8183
A27 11.08 7.26 14.8 2.05 49.22 14.39 45.17 4.85 58.34 266.99 11 8319
A28 11.08 7.26 14.57 1.85 48.61 14.41 40.95 4.4 60.71 269.7 31 7865
A29 11.06 7.38 15.25 2.08 51.3 14.35 45.05 5.05 53.98 290.51 18 8165
A30 11.08 6.91 13.62 2.03 51.67 14.26 39.83 4.8 59.34 290.01 33 7708
A31 10.68 7.5 14.97 1.94 49.12 15.01 40.35 4.6 59.26 275.71 25 8006
A32 10.97 7.19 14.42 1.83 48.12 14.27 40.54 4.36 60.1 267 32 7786
A33 11.34 7.06 13.67 1.87 51.46 15.24 43.44 4.54 60.6 284.52 35 7570
A34 11 7.54 15.89 2.17 49.46 14.71 48.82 4.44 59.04 268.07 7 8498
A35 10.5 7.81 15.93 2.09 46.81 13.97 51.65 4.6 55.54 278.11 6 8725
